69,4768423,4793910,2
73,4802406,4806394,2
69,4814218,4817394,2
73,4826331,4828615,2
69,4835879,4838223,2
73,4845718,4847972,2
69,4857089,4859313,2
73,4864593,4867088,2
69,4879761,4882016,2
73,4884590,4886775,2
69,4900100,4902404,2
73,4903025,4905319,2
69,4920638,4923002,2
73,4921389,4924545,0
69,4938441,4940465,2
69,4952658,4954351,2
73,4924545,4983095,1
73,4984588,4985540,2
73,5005778,5007471,2
73,5026416,5028100,2
72,5647331,5655807,2
71,5653092,5662549,2
72,5684400,5689430,2
71,5697425,5703366,2
72,5713675,5718224,2
71,5729796,5734324,2
72,5743822,5748431,2
71,5760884,5765162,2
72,5774259,5778797,2
71,5790660,5795148,2
72,5802933,5807632,2
71,5820606,5824934,2
72,5833390,5837918,2
71,5850342,5854770,2
72,5862454,5867033,2
71,5879586,5883875,2
72,5892571,5897039,2
71,5908561,5912969,2
73,5968072,5971829,2
69,5970697,5973683,2
73,5972521,5976518,2
69,5974394,5978332,2
71,5973052,5978873,2
72,5974274,5979113,0
73,5977280,5982910,0
69,5978983,5983211,2
71,5980225,5987168,2
69,5983902,5987198,2
69,5987669,5989943,2
71,5988481,5995824,2
71,5996856,6000133,2
71,6000994,6004300,2
73,5982910,6038434,1
72,5979113,6038625,1
73,6041430,6042873,2
72,6041510,6044115,2
73,6043825,6046980,2
73,6047822,6051048,2
72,6045247,6051168,2
69,5990555,6058682,2
72,6052290,6058963,2
69,6059414,6062770,2
72,6059975,6063652,2
72,6064654,6068310,2
69,6063531,6068481,2
69,6069342,6072558,2
69,6073240,6075514,2
69,6076135,6078630,2
69,6079251,6082397,2
69,6083038,6085192,2
69,6085773,6087887,2
71,6005182,6113515,2
71,6114617,6119356,2
73,6051930,6125888,2
71,6120228,6127592,2
73,6126980,6130848,2
71,6128804,6133883,2
73,6131529,6136849,2
71,6134935,6139374,2
73,6137981,6141508,2
71,6140486,6145545,2
73,6142449,6145996,2
73,6147008,6150094,2
71,6146748,6152649,2
73,6151026,6154923,2
71,6153771,6158149,2
73,6156085,6159702,0
69,6088528,6163068,2
71,6159361,6163810,2
72,6069292,6164691,2
69,6163890,6166775,2
69,6167256,6170903,2
72,6165984,6171394,2
69,6171454,6173578,2
69,6174039,6175782,2
69,6176203,6178347,2
72,6172426,6180501,2
69,6178788,6181312,2
69,6181853,6183496,2
69,6183987,6185741,2
72,6181513,6185971,2
72,6186983,6190820,2
72,6191762,6195830,2
72,6196801,6201791,2
72,6202733,6206199,2
72,6207131,6210567,2
73,6159702,6214555,1
73,6215486,6216779,2
73,6217480,6219795,2
69,6186181,6250011,2
69,6250662,6253478,2
69,6254119,6258397,2
69,6259178,6261793,2
69,6262414,6264859,2
69,6265500,6268025,2
71,6165032,6270369,2
69,6268837,6272574,2
71,6271481,6276671,2
69,6273505,6276862,2
69,6277823,6280659,2
71,6278104,6287772,2
73,6220426,6292801,2
71,6288874,6293763,2
73,6293793,6297851,2
71,6294895,6299294,2
73,6298783,6304093,2
71,6300406,6305615,2
73,6305145,6309102,2
71,6306768,6312538,2
73,6309843,6313150,2
71,6313751,6318189,2
73,6314091,6318259,2
72,6211519,6319121,2
73,6318940,6322547,2
71,6319381,6323749,2
72,6320353,6325723,2
73,6323329,6326585,2
73,6327286,6329590,2
72,6326865,6334109,2
72,6335151,6339269,2
72,6340220,6343917,2
72,6344839,6348897,2
69,6281500,6354187,2
72,6349828,6354968,2
69,6354958,6357984,2
72,6355950,6359517,2
69,6358725,6363634,2
72,6360488,6364155,2
69,6364456,6367231,2
69,6367952,6370187,2
69,6370828,6373433,2
69,6374054,6377130,2
69,6377771,6379935,2
69,6380556,6382710,2
73,6330262,6402928,2
73,6403599,6406054,2
73,6406665,6411594,2
73,6412255,6414640,2
73,6415291,6417846,2
73,6418487,6421423,2
73,6421994,6424238,2
73,6424869,6427113,2
71,6324862,6429007,2
71,6430119,6434878,2
71,6435740,6442342,2
71,6443304,6447391,2
71,6448243,6451559,2
69,6383361,6454845,2
71,6452401,6456789,2
69,6455807,6459775,2
71,6457891,6463151,2
71,6464163,6467619,2
69,6460606,6468000,2
71,6468661,6472959,2
69,6469152,6473150,2
72,6365137,6474973,2
69,6474041,6477067,2
69,6477758,6480854,2
72,6476115,6480864,2
69,6481495,6484792,2
72,6481846,6485653,0
69,6485613,6488048,2
69,6488709,6490963,2
73,6427845,6497245,2
73,6497916,6500852,2
73,6501483,6505651,2
73,6506282,6508867,2
73,6509528,6511962,2
73,6512584,6514818,2
73,6515459,6517623,2
73,6518244,6538512,2
73,6539153,6541338,2
72,6485653,6542850,1
73,6541979,6544213,2
73,6544904,6547239,2
73,6547840,6550144,0
72,6549493,6551877,2
72,6552999,6557137,2
69,6491654,6558400,2
69,6558890,6561245,2
72,6558199,6562117,2
69,6561736,6565082,2
72,6563078,6566906,2
69,6565683,6567777,2
69,6568318,6570051,2
72,6567907,6571624,2
69,6570552,6572446,2
69,6572947,6575091,2
71,6474372,6575772,2
71,6576884,6581884,2
69,6575702,6591321,2
71,6582735,6591492,2
